Species,Island,Clutch Completion,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Sex,Delta 15 N (o/oo),Delta 13 C (o/oo),Comments
Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,49.0,19.6,212.0,4300.0,MALE,9.34089,-24.45189,
Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,37.7,16.0,183.0,3075.0,FEMALE,9.2151,-26.2253,
Gentoo penguin (Pygoscelis papua),Biscoe,Yes,45.4,14.6,211.0,4800.0,FEMALE,8.24515,-25.46782,
Gentoo penguin (Pygoscelis papua),Biscoe,Yes,46.2,14.4,214.0,4650.0,,8.24253,-26.8154,
Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,55.8,19.8,207.0,4000.0,MALE,9.70465,-24.53494,
Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,34.5,18.1,187.0,2900.0,FEMALE,8.41837,-26.54718,
Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,46.4,18.6,190.0,3450.0,FEMALE,9.32105,-24.64162,
Gentoo penguin (Pygoscelis papua),Biscoe,Yes,43.5,14.2,220.0,4700.0,FEMALE,8.64931,-26.68867,
Gentoo penguin (Pygoscelis papua),Biscoe,Yes,51.1,16.5,225.0,5250.0,MALE,8.2066,-26.36863,
Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,37.3,20.5,199.0,3775.0,MALE,9.49645,-26.36678,
Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,38.6,17.2,199.0,3750.0,FEMALE,8.77322,-26.48973,
Gentoo penguin (Pygoscelis papua),Biscoe,Yes,43.2,14.5,208.0,4450.0,FEMALE,8.48367,-26.86485,
Gentoo penguin (Pygoscelis papua),Biscoe,Yes,44.5,14.7,214.0,4850.0,FEMALE,8.20106,-26.16524,
Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,36.2,16.1,187.0,3550.0,FEMALE,7.82381,-26.51382,
Gentoo penguin (Pygoscelis papua),Biscoe,Yes,46.8,16.1,215.0,5500.0,MALE,8.32359,-26.05756,
Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,39.6,17.7,186.0,3500.0,FEMALE,8.46616,-26.12989,
Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,41.1,18.6,189.0,3325.0,MALE,9.32277,-26.09989,
Gentoo penguin (Pygoscelis papua),Biscoe,Yes,50.8,17.3,228.0,5600.0,MALE,8.27428,-26.30019,
Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,51.4,19.0,201.0,3950.0,MALE,9.43782,-24.36202,
Adelie Penguin (Pygoscelis adeliae),Dream,Yes,44.1,19.7,196.0,4400.0,MALE,9.2372,-24.52698,
Gentoo penguin (Pygoscelis papua),Biscoe,Yes,46.5,13.5,210.0,4550.0,FEMALE,7.9953,-25.32829,
